# TF	Target	Type	Reference
PPARG	ABCG2	Activation	16785230
PPARG	ACAT1	Activation	19049899
PPARG	ADIPOQ	Activation	20484463
PPARG	ADIPOQ	Unknown	18373719;19833717
PPARG	AGER	Repression	18855759
PPARG	ANGPTL4	Activation	15190076
PPARG	ANGPTL4	Unknown	14570927
PPARG	APOB	Repression	16542871
PPARG	APOBR	Repression	12700342
PPARG	ATP2A2	Unknown	22240811
PPARG	BAD	Activation	14960510
PPARG	BCL2	Activation	15067355
PPARG	BCL2	Repression	14960510
PPARG	BCL2L1	Repression	14960510
PPARG	BRS3	Activation	17355223
PPARG	CAT	Unknown	20075562
PPARG	CAV1	Unknown	17764562
PPARG	CCND1	Repression	15041706;15193259;15486348
PPARG	CCNE1	Repression	14960510
PPARG	CD36	Activation	11795270
PPARG	CD36	Unknown	15104237;17322100
PPARG	CD83	Activation	15356156
PPARG	CDKN1A	Activation	15041706
PPARG	CEBPA	Unknown	15867211
PPARG	CFLAR	Repression	17172826
PPARG	CIITA	Activation	19358337
PPARG	CIITA	Repression	11861426;17611194
PPARG	CLDN2	Unknown	16688762
PPARG	CPT1B	Activation	15356291
PPARG	CSF1	Repression	18566389
PPARG	DBI	Unknown	12015306
PPARG	DEFB103A	Unknown	20970965
PPARG	EGFR	Repression	15486348
PPARG	ERO1A	Activation	18177270
PPARG	ERP44	Activation	20484463
PPARG	ERP44	Repression	20484463
PPARG	FABP4	Activation	11574398
PPARG	FABP4	Unknown	17322100;21047783
PPARG	FASLG	Activation	18293083
PPARG	FGF1	Unknown	22522926
PPARG	GDF15	Unknown	14662774
PPARG	GK	Activation	14749268
PPARG	HMOX1	Unknown	17413033
PPARG	ICAM1	Repression	17425601
PPARG	JAG1	Unknown	20436223
PPARG	KLF4	Unknown	23275339
PPARG	LIPE	Activation	16269451
PPARG	MMP1	Unknown	15090544
PPARG	MMP9	Repression	20021931
PPARG	MYC	Repression	11973610
PPARG	NOTCH4	Unknown	20436223
PPARG	NR1H3	Unknown	11604492
PPARG	PDK2	Repression	15955060
PPARG	PLIN2	Activation	11420178;16403437
PPARG	PLIN2	Unknown	17322100;19571381
PPARG	POU2F1	Activation	12881480
PPARG	PTEN	Activation	11378386;16425225;16775433;20198337
PPARG	PTGS2	Activation	11412039
PPARG	PTGS2	Repression	14555539;16506021
PPARG	PTGS2	Unknown	10827178;11278336
PPARG	RARB	Activation	12839938
PPARG	REN	Repression	18483152
PPARG	REN	Unknown	17785633
PPARG	RETN	Activation	20360975
PPARG	RETN	Unknown	12504108
PPARG	SAT1	Activation	14506281
PPARG	SAT1	Unknown	14750214
PPARG	SERPINE1	Unknown	10073956
PPARG	SLC2A4	Repression	16670091
PPARG	SLC5A5	Activation	17614769
PPARG	SLC9A1	Repression	19887620
PPARG	SOCS7	Unknown	20357037
PPARG	TG	Repression	17614769
PPARG	TNFRSF11B	Unknown	12056809
PPARG	TP53	Activation	14960510;16887883
PPARG	TSHR	Repression	17614769
PPARG	TXNIP	Unknown	19808645
PPARG	UGT1A9	Activation	12582161
PPARG	VLDLR	Activation	19861583
